"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","COUNTERPART_COUNTRY.ID","COUNTERPART_COUNTRY","FREQUENCY.ID","FREQUENCY","SCALE.ID","SCALE","TRADE_FLOW.ID","TRADE_FLOW","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.GNQ.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","GNQ","Equatorial Guinea, Republic of","A","Annual","6","Millions","MG","Imports of goods","","0.005643","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.VUT.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","VUT","Vanuatu","A","Annual","6","Millions","XG","Exports of goods","","134.920421","","0.0153","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.YUG.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","YUG","Yugoslavia, Socialist Federal Republic of","A","Annual","6","Millions","XG","Exports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.NRU.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","NRU","Nauru, Republic of","A","Annual","6","Millions","XG","Exports of goods","","","","0.316704","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.TLS.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","TLS","Timor-Leste, Democratic Republic of","A","Annual","6","Millions","XG","Exports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.SLB.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","SLB","Solomon Islands","A","Annual","6","Millions","XG","Exports of goods","","","","0.298148","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.STP.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","STP","São Tomé and Príncipe, Democratic Republic of","A","Annual","6","Millions","MG","Imports of goods","0.035269","0.008496","0.004666","0.006422","0.007664","0.078017","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.SCG.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","SCG","Serbia and Montenegro","A","Annual","6","Millions","MG","Imports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.CPV.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","CPV","Cabo Verde","A","Annual","6","Millions","MG","Imports of goods","0.00057","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.ANT.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","ANT","Netherlands Antilles","A","Annual","6","Millions","MG","Imports of goods","","","","","","","","",""
